timestamp,price,percent_change_24h,volatility,log_return,volatility_7d,volatility_14d,volatility_30d,avg_abs_change_7d,avg_abs_change_14d,avg_abs_change_30d,parkinson_7d,btc_volatility_index
2025-02-28 16:00:00,84441.901224,-0.32,0.32,-0.0031598241060160335,2.741960207969538,2.2681333641308696,2.0905488548959643,2.2085714285714286,1.6407142857142856,1.569,1.840955556299197,2.77478096777972
2025-03-01 16:00:00,86005.256297,1.85,1.85,0.01834467571191285,2.9762695546289923,2.379569522457919,2.118581866918664,2.4085714285714284,1.7671428571428571,1.5966666666666667,1.885478000394361,2.9569276183718167
2025-03-02 16:00:00,94261.532865,9.6,9.6,0.09166476933923484,5.0924459552432175,3.579555773897982,2.751450888389659,3.744285714285714,2.3485714285714283,1.8403333333333334,2.8810301397210005,4.138349315520419
2025-03-03 16:00:00,86124.714187,-8.63,8.63,-0.09027677271270404,5.846902141594067,4.297958144614883,3.175163688926309,4.2457142857142856,2.937142857142857,2.0723333333333334,3.2843646920912932,5.086121929450298
2025-03-04 16:00:00,87310.805311,1.38,1.38,0.013677816617954095,5.8173412374472075,4.33456440389882,3.153678757600348,4.03,3.015,2.0153333333333334,3.2333937016879384,5.18228220194941
2025-03-05 16:00:00,90604.080985,3.77,3.77,0.037025028656215375,5.4321074275363825,4.468585424191902,3.1438070606776494,3.7871428571428574,3.2049999999999996,2.0076666666666667,3.1057177772902227,5.43929271209595
2025-03-06 16:00:00,90001.400876,-0.67,0.67,-0.006674020521015074,5.473673870604395,4.41792679387585,3.0939059450296664,3.7457142857142856,3.117857142857143,1.9200000000000002,3.1017941789224093,5.326820539795068
2025-03-07 16:00:00,86773.335976,-3.59,3.59,-0.036525850240573705,5.7328730173004665,4.471233934218313,3.146483823934715,4.212857142857143,3.210714285714286,1.9876666666666665,3.206229570134903,5.446331252823443
2025-03-08 16:00:00,86142.983359,-0.73,0.73,-0.0072908723909553335,5.706974153082075,4.4584501860881725,3.146202967204416,4.052857142857143,3.2307142857142854,2.0103333333333335,3.1829266294069214,5.459939378758372
2025-03-09 17:00:00,80751.138933,-6.26,6.26,-0.0646364464297512,4.453204660007832,4.700435210226643,3.335190441106042,3.575714285714286,3.6599999999999997,2.216333333333333,2.7205933911902718,6.010217605113321
2025-03-10 17:00:00,78783.940579,-2.44,2.44,-0.02466289010177848,3.3271885312488565,4.575584294025185,3.3503580274674802,2.691428571428571,3.468571428571429,2.2976666666666667,1.9674799881894098,5.756363575584022
2025-03-11 17:00:00,82799.108029,5.1,5.1,0.04970811240161334,4.011975044742863,4.8085139332709845,3.504475959842277,3.222857142857143,3.6264285714285713,2.4673333333333334,2.261197531078668,6.030685538064064
2025-03-12 17:00:00,83884.245788,1.31,1.31,0.013020533421948588,3.65377524080774,4.591569248918092,3.5111254280864257,2.871428571428571,3.329285714285714,2.481666666666667,2.114029060320213,5.62507033874476
2025-03-13 17:00:00,81098.900524,-3.32,3.32,-0.03376841816974024,3.7426334217743067,4.667397350432031,3.54389926999687,3.25,3.4978571428571428,2.5356666666666663,2.2391776576891034,5.831555818073158
2025-03-14 17:00:00,83971.709161,3.54,3.54,0.03481054242374328,4.016200978911439,4.776145632869895,3.586573455601,3.2428571428571433,3.7278571428571428,2.5806666666666667,2.235072254611508,6.115929959292091
2025-03-15 17:00:00,84391.690876,0.5,0.5,0.004989001006441863,4.029735613025127,4.749089436883691,3.5878441585702943,3.21,3.6314285714285712,2.5540000000000003,2.2318090444612193,6.005973289870417
2025-03-16 17:00:00,82610.617503,-2.11,2.11,-0.021330733954196844,3.1640208216644568,3.937477923477331,3.5904670924228603,2.617142857142857,3.096428571428571,2.5923333333333334,1.786401725671415,5.065167533167236
2025-03-17 17:00:00,84075.365597,1.77,1.77,0.01757539261479326,2.937584531611008,3.2243984594942083,3.6136178167614483,2.5214285714285714,2.6064285714285718,2.6486666666666663,1.7452492823545618,4.218627801175676
2025-03-18 17:00:00,82780.030487,-1.54,1.54,-0.01552675146960049,2.432923965535272,3.211561933370021,3.614448147846611,2.012857142857143,2.617857142857143,2.6513333333333335,1.3520098683746133,4.223638109542153
2025-03-19 17:00:00,86815.441095,4.87,4.87,0.0475976440348356,3.0218517185138056,3.325374655673561,3.739916225712392,2.5214285714285714,2.6964285714285716,2.8006666666666664,1.7209061588582524,4.359115899265352
2025-03-20 17:00:00,84270.84359,-2.93,2.93,-0.029748558349348083,2.9387828093084654,3.401035069501605,3.770988023964413,2.4657142857142853,2.8578571428571427,2.8886666666666665,1.6840208584826353,4.5583746776079455
2025-03-21 17:00:00,84009.532918,-0.31,0.31,-0.0031056607722625153,2.64259764177155,3.2754304772040244,3.760161135107328,2.004285714285714,2.623571428571428,2.862,1.481617128940463,4.26128666717344
2025-03-22 17:00:00,83793.308542,-0.26,0.26,-0.002577125557484504,2.634558878932646,3.2723401435372583,3.734444546274858,1.9700000000000002,2.59,2.8076666666666665,1.4784421493838868,4.226170071768629
2025-03-23 17:00:00,85787.709149,2.38,2.38,0.023522592255298007,2.603408028737376,2.7858525618354997,3.7549415345591206,2.0085714285714285,2.3128571428571427,2.810666666666667,1.49941813109721,3.705783423774893
2025-03-24 17:00:00,87327.729697,1.8,1.8,0.017792303038596243,2.605112332080753,2.6749367064027587,3.7729017263430995,2.012857142857143,2.2671428571428573,2.8556666666666666,1.5012571533199932,3.6046112103442365
2025-03-25 17:00:00,87520.583915,0.22,0.22,0.002205961181125055,2.4489914012815017,2.3815553980436373,3.7742429294373907,1.8242857142857143,1.9185714285714286,2.8546666666666667,1.4608458412368421,3.109349127593247
2025-03-26 17:00:00,86960.855549,-0.64,0.64,-0.0064159292561998165,1.7401015823379127,2.3813339853099134,3.658458226280165,1.22,1.8707142857142858,2.7053333333333334,0.9660052108248252,3.0613812783692422
2025-03-27 17:00:00,87227.27158,0.31,0.31,0.003058948312180075,1.1340953205074853,2.140209963356967,3.6216097012193478,0.8457142857142858,1.6557142857142857,2.619333333333333,0.7041179949422486,2.7258192673927693
2025-03-28 17:00:00,84359.469155,-3.29,3.29,-0.03342996652090843,1.8470705645837315,2.19053496270628,3.523215709474415,1.2714285714285716,1.6378571428571431,2.5466666666666664,1.0239826418223703,2.733124624210283
2025-03-29 17:00:00,82679.172554,-1.99,1.99,-0.020119336025558675,2.009154320461044,2.2513873804775826,3.5375774635601416,1.5185714285714287,1.7442857142857142,2.5810000000000004,1.117631792608161,2.8699794045245053
2025-03-30 17:00:00,82356.381112,-0.39,0.39,-0.003911785629754078,1.6691162316151955,2.180157609902605,3.537776443081915,1.2342857142857142,1.6214285714285714,2.5833333333333335,0.9823851294874604,2.711507376379874
2025-03-31 17:00:00,82514.093654,0.19,0.19,0.0019131695996995937,1.3768608044503403,2.1212044643565244,3.519734470817668,1.0042857142857142,1.5085714285714287,2.528,0.8944272818873398,2.5691736607496907
2025-04-01 17:00:00,85237.587605,3.3,3.3,0.03247339470139785,2.0601584940765627,2.2577667467145393,3.1237974239858453,1.4442857142857142,1.6342857142857141,2.318,1.1655949907307346,2.763169087642984
2025-04-02 17:00:00,82526.422153,-3.18,3.18,-0.032323995034744424,2.3304808430450463,2.0160593473590973,2.720947010551917,1.8071428571428572,1.5135714285714283,2.1363333333333334,1.3632852724000646,2.521601102250977
2025-04-03 17:00:00,83163.987574,0.77,0.77,0.007695901878686085,2.3716465646774645,1.886993515621322,2.7116755474699725,1.8728571428571428,1.3592857142857144,2.116,1.3726413464390907,2.3027824720963754
2025-04-04 17:00:00,83852.007654,0.83,0.83,0.008239018915987719,2.0996109365050986,1.9013029786547428,2.6195722523206,1.5214285714285711,1.3964285714285716,2.018,1.1670175152972753,2.347080060755943
2025-04-05 17:00:00,83595.885502,-0.31,0.31,-0.003059128985274387,1.931071193980498,1.9018229686916768,2.6184560138315707,1.2814285714285714,1.4,2.006,1.0783496489395028,2.350911484345838
2025-04-06 17:00:00,78211.483582,-6.44,6.44,-0.06657781675152642,3.238092777716249,2.476206477276268,2.8041687424898596,2.1457142857142855,1.69,2.101,1.8143651601514181,2.9281032386381343
2025-04-07 17:00:00,79179.292268,1.24,1.24,0.012298317726093745,3.310727966767988,2.4386373144537408,2.8177220452123892,2.295714285714286,1.65,2.118,1.8355613462750169,2.86931865722687
2025-04-08 13:13:00,76753.426342,-3.06,3.06,-0.031116775007448354,2.933450039247407,2.5036611031760754,2.6238964522313575,2.2614285714285716,1.852857142857143,2.0113333333333334,1.8140115672953543,3.1046876944451807
